PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Ordiz, A; Canestrari, D; Echegaray, J				Ordiz, Andres; Canestrari, Daniela; Echegaray, Jorge			Wolf Conservation and Management in Spain, An Open Debate	FRONTIERS IN ENVIRONMENTAL SCIENCE				Article																				1	1											FEB 18	2022	10								781169	10.3389/fenvs.2022.781169	http://dx.doi.org/10.3389/fenvs.2022.781169				Environmental Sciences								2022-09-27	WOS:000768040100001
J	Treves, A; Santiago-Avila, FJ; Putrevu, K				Treves, Adrian; Santiago-Avila, Francisco J.; Putrevu, Karann			Quantifying the effects of delisting wolves after the first state began lethal management	PEERJ				Article																				5	5											JUL 5	2021	9								e11666	10.7717/peerj.11666	http://dx.doi.org/10.7717/peerj.11666				Multidisciplinary Sciences								2022-09-27	WOS:000669534400003
J	Liberg, O; Suutarinen, J; Akesson, M; Andren, H; Wabakken, P; Wikenros, C; Sand, H				Liberg, Olof; Suutarinen, Johanna; Akesson, Mikael; Andren, Henrik; Wabakken, Petter; Wikenros, Camilla; Sand, Hakan			Poaching-related disappearance rate of wolves in Sweden was positively related to population size and negatively to legal culling	BIOLOGICAL CONSERVATION				Article																				23	23											MAR	2020	243								108456	10.1016/j.biocon.2020.108456	http://dx.doi.org/10.1016/j.biocon.2020.108456				Biodiversity Conservation; Ecology; Environmental Sciences								2022-09-27	WOS:000526787100028
J	Martin, JL; Chamaille-Jammes, S; Waller, DM				Martin, Jean-Louis; Chamaille-Jammes, Simon; Waller, Donald M.			Deer, wolves, and people: costs, benefits and challenges of living together	BIOLOGICAL REVIEWS				Article																				21	21											JUN	2020	95	3					782	801		10.1111/brv.12587	http://dx.doi.org/10.1111/brv.12587		FEB 2020		Biology								2022-09-27	WOS:000512447000001
J	Suutarinen, J; Kojola, I				Suutarinen, J.; Kojola, I.			One way or another: predictors of wolf poaching in a legally harvested wolf population	ANIMAL CONSERVATION				Article																				14	14											OCT	2018	21	5					414	422		10.1111/acv.12409	http://dx.doi.org/10.1111/acv.12409				Biodiversity Conservation; Ecology								2022-09-27	WOS:000452235300007
J	Stien, A				Stien, Audun			Blood may buy goodwill: no evidence for a positive relationship between legal culling and poaching in Wisconsin	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES				Editorial Material																				3	3											NOV 29	2017	284	1867							20170267	10.1098/rspb.2017.0267	http://dx.doi.org/10.1098/rspb.2017.0267				Biology; Ecology; Evolutionary Biology								2022-09-27	WOS:000416391400008
J	Suutarinen, J; Kojola, I				Suutarinen, Johanna; Kojola, Ilpo			Poaching regulates the legally hunted wolf population in Finland	BIOLOGICAL CONSERVATION				Article																				30	30											NOV	2017	215						11	18		10.1016/j.biocon.2017.08.031	http://dx.doi.org/10.1016/j.biocon.2017.08.031				Biodiversity Conservation; Ecology; Environmental Sciences								2022-09-27	WOS:000414883000002
J	Mykra, S; Pohja-Mykra, M; Vuorisalo, T				Mykra, Sakari; Pohja-Mykra, Mari; Vuorisalo, Timo			Hunters' attitudes matter: diverging bear and wolf population trajectories in Finland in the late nineteenth century and today	EUROPEAN JOURNAL OF WILDLIFE RESEARCH				Article																				8	8											OCT	2017	63	5							76	10.1007/s10344-017-1134-1	http://dx.doi.org/10.1007/s10344-017-1134-1				Ecology; Zoology								2022-09-27	WOS:000411059800005
J	Chapron, G; Treves, A				Chapron, Guillaume; Treves, Adrian			Reply to comment by Pepin et al. 2017	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES				Editorial Material																				6	6											MAR 29	2017	284	1851							20162571	10.1098/rspb.2016.2571	http://dx.doi.org/10.1098/rspb.2016.2571				Biology; Ecology; Evolutionary Biology								2022-09-27	WOS:000397884000013
