Year,Zone,Wolves,Pack Area in Zone m2,Area m2,DNRZNECount
1997,2,15.52682857,613511742.6,14775656232,NA
1998,2,23.67646576,718719232.6,14775656232,NA
1999,2,34.48475366,1079356412,14775656232,NA
2000,2,42.71965409,1523579902,14775656232,NA
2001,2,28.9151073,1171217412,14775656232,NA
2002,2,50.83236689,1944137686,14775656232,NA
2003,2,63.23828394,2986419891,14775656232,NA
2004,2,72.55779779,2846236431,14775656232,NA
2005,2,80.23508704,3174480112,14775656232,NA
2006,2,85.54106984,2962468647,14775656232,NA
2007,2,109.8634469,4267070164,14775656232,NA
2008,2,95.78382353,4479978644,14775656232,NA
2009,2,126.0163154,5964355209,14775656232,NA
2010,2,130.1370123,6182148187,14775656232,NA
2011,2,166.8675424,7651875714,14775656232,NA
2012,2,173.4683511,7915420539,14775656232,NA
2013,2,157.5269586,7354585714,14775656232,168
2014,2,142.96119,6874355718,14775656232,150
2015,2,143.2492511,7941218441,14775656232,161
2016,2,221.52419,8988963477,14775656232,243
2017,2,187.8126,8751026261,14775656232,206
2018,2,204.766,9369602931,14775656232,230
2019,2,194.5,9471946660,14775656232,220
2020,2,219.8,9393663765,14775656232,240
1980,3,1.907896004,115992170.1,10089662206,NA
1981,3,3.005801074,93371784.16,10089662206,NA
1982,3,0,0,10089662206,NA
1983,3,1.497968936,92372112.97,10089662206,NA
1984,3,0,0,10089662206,NA
1985,3,0,0,10089662206,NA
1986,3,0,0,10089662206,NA
1987,3,0,0,10089662206,NA
1988,3,0,0,10089662206,NA
1989,3,0.000594137,41994.70498,10089662206,NA
1990,3,0.00118691,41946.21789,10089662206,NA
1991,3,0,0,10089662206,NA
1992,3,0.237303199,24123711.5,10089662206,NA
1993,3,0.203883287,18996016.52,10089662206,NA
1994,3,3.307422052,224713276.2,10089662206,NA
1995,3,7.191519083,223130687.2,10089662206,NA
1996,3,6.92459378,466451338.6,10089662206,NA
1997,3,13.54849267,588013382.1,10089662206,NA
1998,3,16.55899413,817830528.4,10089662206,NA
1999,3,17.75492214,899733529.8,10089662206,NA
2000,3,24.62199764,887103273.1,10089662206,NA
2001,3,23.19196611,827002727.9,10089662206,NA
2002,3,30.65781597,856227904.6,10089662206,NA
2003,3,20.22846272,1139680825,10089662206,NA
2004,3,36.83477472,1842057197,10089662206,NA
2005,3,56.54821464,2181023999,10089662206,NA
2006,3,51.90795516,2352336665,10089662206,NA
2007,3,65.96007324,2986651695,10089662206,NA
2008,3,69.70091117,3618533919,10089662206,NA
2009,3,81.41441162,4304766166,10089662206,NA
2010,3,89.97528255,4329484254,10089662206,NA
2011,3,100.8165349,4755040567,10089662206,NA
2012,3,86.1422,4753722176,10089662206,NA
2013,3,108.9489147,4334508410,10089662206,NA
2014,3,81.88717,4461826398,10089662206,NA
2015,3,79.36566952,3885781210,10089662206,NA
2016,3,94.50358,4723191965,10089662206,NA
2017,3,111.0517,4694655341,10089662206,NA
2018,3,84.56,4203418441,10089662206,NA
2019,3,105.9,5248592996,10089662206,NA
2020,3,131.4,5666081401,10089662206,NA
1980,4,0,0,5941905456,NA
1981,4,0,0,5941905456,NA
1982,4,0,0,5941905456,NA
1983,4,0,0,5941905456,NA
1984,4,0,0,5941905456,NA
1985,4,0,0,5941905456,NA
1986,4,0,0,5941905456,NA
1987,4,0.0008865,34614.7396,5941905456,NA
1988,4,0.061843427,1119094.79,5941905456,NA
1989,4,0.637523871,7674882.96,5941905456,NA
1990,4,0,0,5941905456,NA
1991,4,0,0,5941905456,NA
1992,4,0,0,5941905456,NA
1993,4,0.143204937,9970764.413,5941905456,NA
1994,4,0.310264486,9969867.981,5941905456,NA
1995,4,0,0,5941905456,NA
1996,4,0,0,5941905456,NA
1997,4,0,0,5941905456,NA
1998,4,0,0,5941905456,NA
1999,4,0,0,5941905456,NA
2000,4,0,0,5941905456,NA
2001,4,0,0,5941905456,NA
2002,4,4.362802701,170198630.2,5941905456,NA
2003,4,5.70684425,487303292.4,5941905456,NA
2004,4,5.145330392,239036614.2,5941905456,NA
2005,4,9.006544757,564805306.5,5941905456,NA
2006,4,14.37819614,744570631,5941905456,NA
2007,4,13.9559021,809893215.6,5941905456,NA
2008,4,14.71314268,747223151.7,5941905456,NA
2009,4,20.04197637,1146563671,5941905456,NA
2010,4,22.03624748,1042896254,5941905456,NA
2011,4,26.7935281,1500275447,5941905456,NA
2012,4,23.578335,1237935350,5941905456,NA
2013,4,26.67371285,1336764511,5941905456,NA
2014,4,18.97344056,1200311406,5941905456,NA
2015,4,31.04768673,1845706253,5941905456,NA
2016,4,49.35335,2063564168,5941905456,NA
2017,4,33.39,1815232604,5941905456,NA
2018,4,38.6,2378897655,5941905456,NA
2019,4,37.6,2140665756,5941905456,NA
2020,4,37.3,1970269204,5941905456,NA
1980,5,0,0,7994502301,NA
1981,5,0,0,7994502301,NA
1982,5,0,0,7994502301,NA
1983,5,0,0,7994502301,NA
1984,5,0,0,7994502301,NA
1985,5,0,0,7994502301,NA
1986,5,0,0,7994502301,NA
1987,5,0,0,7994502301,NA
1988,5,0,0,7994502301,NA
1989,5,0,0,7994502301,NA
1990,5,0,0,7994502301,NA
1991,5,0,0,7994502301,NA
1992,5,0,0,7994502301,NA
1993,5,0,0,7994502301,NA
1994,5,0,0,7994502301,NA
1995,5,4.5,334763302.9,7994502301,NA
1996,5,15,412022852.2,7994502301,NA
1997,5,18.5,475856841.6,7994502301,NA
1998,5,23.49999999,582935502,7994502301,NA
1999,5,24.92842025,925061651.7,7994502301,NA
2000,5,47.42790877,1270617597,7994502301,NA
2001,5,33.4459152,1050265491,7994502301,NA
2002,5,35.02308846,1685507411,7994502301,NA
2003,5,42.79477011,1784667515,7994502301,NA
2004,5,50.03745316,1415060538,7994502301,NA
2005,5,41.97528134,1544920458,7994502301,NA
2006,5,56.97750457,1738492982,7994502301,NA
2007,5,77.53577055,1799957116,7994502301,NA
2008,5,74.39482638,2159951280,7994502301,NA
2009,5,94.81408684,2337215632,7994502301,NA
2010,5,107.5417735,2553805764,7994502301,NA
2011,5,138.1475402,3302418278,7994502301,NA
2012,5,139.1914065,3244119720,7994502301,NA
2013,5,134.174,3175452237,7994502301,138
2014,5,105.1649733,2738435517,7994502301,103
2015,5,125.3962374,3146372514,7994502301,129
2016,5,101.4542368,3398172571,7994502301,104
2017,5,117.17,3888290307,7994502301,117
2018,5,140.8,3794388360,7994502301,144
2019,5,131.5,3644085785,7994502301,134
2020,5,135.7,3785724740,7994502301,138
1980,6,0,0,87788764760,NA
1981,6,0,0,87788764760,NA
1982,6,0,0,87788764760,NA
1983,6,0,0,87788764760,NA
1984,6,0,0,87788764760,NA
1985,6,0,0,87788764760,NA
1986,6,0,0,87788764760,NA
1987,6,0,0,87788764760,NA
1988,6,0,0,87788764760,NA
1989,6,0,0,87788764760,NA
1990,6,0,0,87788764760,NA
1991,6,0,0,87788764760,NA
1992,6,0,0,87788764760,NA
1993,6,0,0,87788764760,NA
1994,6,0,0,87788764760,NA
1995,6,0.325770379,43988854,87788764760,NA
1996,6,0.294879259,27563899.64,87788764760,NA
1997,6,0.589618934,27557293.68,87788764760,NA
1998,6,0.393084992,183181575,87788764760,NA
1999,6,0.571579749,34146894.67,87788764760,NA
2000,6,0.572091212,37182973.74,87788764760,NA
2001,6,1.74309523,39593281.33,87788764760,NA
2002,6,1.040888332,61732995.29,87788764760,NA
2003,6,2.698743495,220516645.2,87788764760,NA
2004,6,7.523518623,367426029,87788764760,NA
2005,6,14.93888357,860460996.7,87788764760,NA
2006,6,12.99373112,690547008.8,87788764760,NA
2007,6,19.70273276,679005216.3,87788764760,NA
2008,6,17.60112012,870164198.1,87788764760,NA
2009,6,21.5579438,1064626350,87788764760,NA
2010,6,28.27335793,1595148278,87788764760,NA
2011,6,44.59453682,2348579442,87788764760,NA
2012,6,39.16845,2170475034,87788764760,NA
2013,6,34.1863539,1927785737,87788764760,NA
2014,6,28.48309684,2138741668,87788764760,NA
2015,6,35.69605,3167251969,87788764760,NA
2016,6,34.79397802,2539002970,87788764760,NA
2017,6,54.822,3321271822,87788764760,NA
2018,6,62.5,4899667301,87788764760,NA
2019,6,62.9,4528065337,87788764760,NA
2020,6,58.8,3852035412,87788764760,NA
1980,x,2.640127586,193254967.8,NA,NA
1981,x,1.734486436,190940089.6,NA,NA
1982,x,2.636678192,137930774.4,NA,NA
1983,x,0.455275338,43619447.71,NA,NA
1984,x,4.561737369,301238059.1,NA,NA
1985,x,4.550109616,148931810.8,NA,NA
1986,x,1.698334614,208495451.3,NA,NA
1987,x,1.698289714,208508183.8,NA,NA
1988,x,1.674465143,247539536.8,NA,NA
1989,x,1.198739699,84711592.23,NA,NA
1990,x,2.397087339,84711547.86,NA,NA
1991,x,4.000098032,78346316.25,NA,NA
1992,x,4.404584168,294216075.8,NA,NA
1993,x,3.504077454,353985508.7,NA,NA
1994,x,4.832263698,668126872.6,NA,NA
1995,x,6.15106109,650162555.2,NA,NA
1996,x,6.796307291,619781709.1,NA,NA
1997,x,9.047093398,572333289.5,NA,NA
1998,x,11.4904458,521908345.6,NA,NA
1999,x,8.01017221,458767609.3,NA,NA
2000,x,4.513223663,404357728.7,NA,NA
2001,x,4.662452886,326907463.4,NA,NA
2002,x,13.68375683,451648474.3,NA,NA
2003,x,7.556594732,577001539.4,NA,NA
2004,x,11.29615023,550380684.8,NA,NA
2005,x,9.942209379,529884400.5,NA,NA
2006,x,10.37500475,518016003.7,NA,NA
2007,x,11.49298148,707067931.3,NA,NA
2008,x,16.39462608,902493077.8,NA,NA
2009,x,25.41924222,1188044771,NA,NA
2010,x,24.94523154,1411355742,NA,NA
2011,x,24.08364178,1503357699,NA,NA
2012,x,31.99117691,1475819880,NA,NA
