Year,Zone,Wolves,Pack Area in Zone m2,Area m2,DNRZNECount
1980,1,8.953194968,472172874.6,15726376702,NA
1981,1,11.26091496,645334926,15726376702,NA
1982,1,12.18398398,681111530.9,15726376702,NA
1983,1,11.77732469,1038569913,15726376702,NA
1984,1,11.52259325,570855432.8,15726376702,NA
1985,1,11.24335587,582498520.9,15726376702,NA
1986,1,5.698405898,492423720.4,15726376702,NA
1987,1,10.09518668,674252042.6,15726376702,NA
1988,1,11.98769591,681720259.3,15726376702,NA
1989,1,13.19886553,601549618,15726376702,NA
1990,1,13.34287452,791897932.8,15726376702,NA
1991,1,21.18534605,878768311.9,15726376702,NA
1992,1,20.41923716,1085343479,15726376702,NA
1993,1,23.95430967,1532987489,15726376702,NA
1994,1,36.47239849,2305321008,15726376702,NA
1995,1,50.76619624,2460419804,15726376702,NA
1996,1,61.78086176,3859003422,15726376702,NA
1997,1,87.28949143,4064947482,15726376702,NA
1998,1,99.38443438,4892655982,15726376702,NA
1999,1,106.2577532,4915984808,15726376702,NA
2000,1,125.662133,5835544381,15726376702,NA
2001,1,150.0457993,5608158793,15726376702,NA
2002,1,184.9059928,5927201626,15726376702,NA
2003,1,190.7790541,7020263703,15726376702,NA
2004,1,197.1134416,7423371432,15726376702,NA
2005,1,219.3615059,8115911381,15726376702,NA
2006,1,244.3321068,7908874738,15726376702,NA
2007,1,250.0158985,8101336490,15726376702,NA
2008,1,246.4328492,8695630936,15726376702,NA
2009,1,276.760619,9133941354,15726376702,NA
2010,1,298.6138836,9577612151,15726376702,NA
2011,1,295.2082577,9635599952,15726376702,NA
2012,1,331.1980592,10032291702,15726376702,NA
2013,1,322.106238,9769779423,15726376702,341
2014,1,277.246,9062015660,15726376702,281
2015,1,301.4880186,9678366180,15726376702,309
2016,1,322.7581418,10832942750,15726376702,339
2017,1,380.862,11087908020,15726376702,393
2018,1,333,11314031810,15726376702,349
2019,1,339.5,12350139580,15726376702,360
2020,1,391.8,12006950380,15726376702,417
1980,2,13,255805113,14775656232,NA
1981,2,7,258379194.9,14775656232,NA
1982,2,8.1797217,396491309.5,14775656232,NA
1983,2,6.770464802,372778661.8,14775656232,NA
1984,2,5.915832034,587559949.9,14775656232,NA
1985,2,3.206657428,350268719.2,14775656232,NA
1986,2,4.603320939,351531942.6,14775656232,NA
1987,2,7.205760036,327821031.5,14775656232,NA
1988,2,12.2762907,338023210.9,14775656232,NA
1989,2,14.96502741,206033804.3,14775656232,NA
1990,2,12.75939648,194850659.5,14775656232,NA
1991,2,10.81482126,297577863.2,14775656232,NA
1992,2,12.43902259,506078142.5,14775656232,NA
1993,2,14.19479559,750039397.8,14775656232,NA
1994,2,12.57784857,714301590.7,14775656232,NA
1995,2,7.565715277,746952226.4,14775656232,NA
1996,2,8.204623105,506232444.2,14775656232,NA
