year,Winter Minimum Count,,Notes
1980,25,Wolves,Old Method
1981,20,Wolves,Old Method
1982,23,Wolves,Old Method
1983,19,Wolves,Old Method
1984,18,Wolves,Old Method
1985,14,Wolves,Old Method
1986,15,Wolves,Old Method
1987,18,Wolves,Old Method
1988,26,Wolves,Old Method
1989,31,Wolves,Old Method
1990,34,Wolves,Old Method
1991,39,Wolves,Old Method
1992,45,Wolves,Old Method
1993,40,Wolves,Old Method
1994,54,Wolves,Old Method
1995,83,Wolves,Old Method
1996,99,Wolves,Old Method
1997,148,Wolves,Old Method
1998,178,Wolves,Old Method
1999,204,Wolves,Old Method
2000,248,Wolves,Old Method
2001,257,Wolves,Old Method
2002,327,Wolves,Old Method
2003,335,Wolves,Old Method
2004,373,Wolves,Old Method
2005,435,Wolves,Old Method
2006,467,Wolves,Old Method
2007,546,Wolves,Old Method
2008,549,Wolves,Old Method
2009,637,Wolves,Old Method
2010,704,Wolves,Old Method
2011,782,Wolves,Old Method
2012,815,Wolves,Old Method
2013,809,Wolves,Old Method
2014,672,Wolves,Old Method
2015,746,Wolves,Old Method
2016,866,Wolves,Old Method
2017,925,Wolves,Old Method
2018,905,Wolves,Old Method
2019,914,Wolves,Old Method
2020,1034,Wolves,Old Method
2021,1126,Wolves,NEW METHOD
1980,1037.151041568,Range,Old Method
1981,1187.9657288662,Range,Old Method
1982,1215.509585927,Range,Old Method
1983,1547.2809632916,Range,Old Method
1984,1459.641269683,Range,Old Method
1985,1081.689518506,Range,Old Method
1986,1052.441581037,Range,Old Method
1987,1336.073684676,Range,Old Method
1988,1273.4779755107,Range,Old Method
1989,949.0317472552,Range,Old Method
1990,1070.4807850467,Range,Old Method
1991,1184.3355041759,Range,Old Method
1992,2043.7444564733,Range,Old Method
1993,2652.2020099061,Range,Old Method
1994,3923.6098864048,Range,Old Method
1995,4530.1440478674,Range,Old Method
1996,5773.4781922847,Range,Old Method
1997,6567.968602217,Range,Old Method
1998,7371.9489388193,Range,Old Method
1999,8093.4179316819,Range,Old Method
2000,9957.8793637934,Range,Old Method
2001,9022.9703016638,Range,Old Method
2002,11096.4807254792,Range,Old Method
2003,14215.6692465103,Range,Old Method
2004,14930.6935934616,Range,Old Method
2005,16900.4883724625,Range,Old Method
2006,16863.4707931822,Range,Old Method
2007,19364.0627064033,Range,Old Method
2008,21473.9321035948,Range,Old Method
2009,25615.2033263097,Range,Old Method
2010,26299.3704611343,Range,Old Method
2011,30472.6604847607,Range,Old Method
2012,30829.78,Range,Old Method
2013,29116,Range,Old Method
2014,27736,Range,Old Method
2015,31410,Range,Old Method
2016,35441.397,Range,Old Method
2017,33913.304,Range,Old Method
2018,37749,Range,Old Method
2019,39408,Range,Old Method
2020,38931,Range,Old Method
2021,NA,Range,NEW METHOD
1980,6,Packs,Old Method
1981,5,Packs,Old Method
1982,5,Packs,Old Method
1983,7,Packs,Old Method
1984,6,Packs,Old Method
1985,5,Packs,Old Method
1986,5,Packs,Old Method
1987,6,Packs,Old Method
1988,8,Packs,Old Method
1989,8,Packs,Old Method
1990,9,Packs,Old Method
1991,11,Packs,Old Method
1992,13,Packs,Old Method
1993,15,Packs,Old Method
1994,20,Packs,Old Method
1995,23,Packs,Old Method
1996,31,Packs,Old Method
1997,35,Packs,Old Method
1998,47,Packs,Old Method
1999,54,Packs,Old Method
2000,68,Packs,Old Method
2001,66,Packs,Old Method
2002,80,Packs,Old Method
2003,95,Packs,Old Method
2004,111,Packs,Old Method
2005,115,Packs,Old Method
2006,121,Packs,Old Method
2007,140,Packs,Old Method
2008,155,Packs,Old Method
2009,170,Packs,Old Method
2010,184,Packs,Old Method
2011,211,Packs,Old Method
2012,213,Packs,Old Method
2013,214,Packs,Old Method
2014,197,Packs,Old Method
2015,208,Packs,Old Method
2016,222,Packs,Old Method
2017,232,Packs,Old Method
2018,238,Packs,Old Method
2019,243,Packs,Old Method
2020,256,Packs,Old Method
2021,292,Packs,NEW METHOD
